I,P,Tgran,Theta,e_rest,kt,kt_is_default,label,mu,mu_g,n_samples,seed,tau
0.0007066692684210526,2.0320795508771927,0.002,3.6558083843859652,0.5,1000.0,False,e0.5_k1.0e3_mu5.0_T0.002_s2,0.1801119188201754,5.0,57,2,0.028581522538596485
0.0007158775198245614,1.9771636631578948,0.002,2.5312001419298245,0.5,1000.0,False,e0.5_k1.0e3_mu5.0_T0.002_s3,0.12482147806350877,5.0,57,3,0.03594633905087719
0.0007073598147368422,2.068885264912281,0.006,2.474670649122807,0.5,1000.0,False,e0.5_k1.0e3_mu5.0_T0.006_s1,0.11333833856842106,5.0,57,1,-0.06331541767894737
0.0007116227729824561,2.0391909157894736,0.006,4.5708386333333335,0.5,1000.0,False,e0.5_k1.0e3_mu5.0_T0.006_s2,0.0967357084914035,5.0,57,2,0.017056840014035086
0.0007192820343859649,1.9553385122807019,0.006,2.5289572271929823,0.5,1000.0,False,e0.5_k1.0e3_mu5.0_T0.006_s3,0.11610105838421053,5.0,57,3,0.0826730571754386
0.0007041587208771929,2.063759368421053,0.015,2.6943114398245616,0.5,1000.0,False,e0.5_k1.0e3_mu5.0_T0.015_s1,0.12733578603684212,5.0,57,1,0.02183867733333333
0.00071793959,1.987471968421053,0.015,2.6999896259649123,0.5,1000.0,False,e0.5_k1.0e3_mu5.0_T0.015_s2,0.11902354235964913,5.0,57,2,0.11549042267543859
0.0007079840649122808,2.0413596192982455,0.015,3.025953367368421,0.5,1000.0,False,e0.5_k1.0e3_mu5.0_T0.015_s3,0.1083065676631579,5.0,57,3,-0.029570970017017542
0.000712812962105263,1.968370043859649,0.0005,0.00010134841308771928,0.5,10000.0,False,e0.5_k1.0e4_mu0.03_T0.0005_s1,0.11371214901754388,0.03,57,1,-0.22383273578947369
0.0007112712243859649,1.9773803491228068,0.0005,0.0001034584887368421,0.5,10000.0,False,e0.5_k1.0e4_mu0.03_T0.0005_s2,0.11664546210526315,0.03,57,2,-0.23075124982456144
0.0007104843019298246,1.9813221087719297,0.0005,0.00010140879075438596,0.5,10000.0,False,e0.5_k1.0e4_mu0.03_T0.0005_s3,0.11484254245614037,0.03,57,3,-0.22754482368421053
0.0007107441684210525,1.9796471807017546,0.002,0.0003487819005263159,0.5,10000.0,False,e0.5_k1.0e4_mu0.03_T0.002_s1,0.10767414514035088,0.03,57,1,-0.21313552070175437
0.0007103659803508772,1.9817324140350878,0.002,0.0003537469854385965,0.5,10000.0,False,e0.5_k1.0e4_mu0.03_T0.002_s2,0.09181116547368419,0.03,57,2,-0.18198402842105263
0.0007100489349122807,1.9837347421052631,0.002,0.00035346015385964914,0.5,10000.0,False,e0.5_k1.0e4_mu0.03_T0.002_s3,0.10815742771929823,0.03,57,3,-0.21489632350877197
0.0007143639615789474,1.959680156140351,0.006,0.0010913575771929825,0.5,10000.0,False,e0.5_k1.0e4_mu0.03_T0.006_s1,0.09483399459649124,0.03,57,1,-0.18585894368421052
0.0007084182847368422,1.9927248315789474,0.006,0.0010761513280701754,0.5,10000.0,False,e0.5_k1.0e4_mu0.03_T0.006_s2,0.1004495097368421,0.03,57,2,-0.20018002666666665
0.000708529446140351,1.9921255789473684,0.006,0.001098627594736842,0.5,10000.0,False,e0.5_k1.0e4_mu0.03_T0.006_s3,0.09871338457894736,0.03,57,3,-0.19673712157894738
0.0007093655485964911,1.9874100824561405,0.015,0.002931241085964912,0.5,10000.0,False,e0.5_k1.0e4_mu0.03_T0.015_s1,0.08264663873684211,0.03,57,1,-0.1642414649122807
0.0007079810498245615,1.995237798245614,0.015,0.0029206558421052634,0.5,10000.0,False,e0.5_k1.0e4_mu0.03_T0.015_s2,0.08799017766666668,0.03,57,2,-0.17557536456140352
0.0007107859177192981,1.979568115789474,0.015,0.002921271359649123,0.5,10000.0,False,e0.5_k1.0e4_mu0.03_T0.015_s3,0.08721777250877193,0.03,57,3,-0.17269623754385965
0.0007143630692982456,1.9597208719298245,0.0005,0.0001417252252631579,0.5,10000.0,False,e0.5_k1.0e4_mu0.0_T0.0005_s1,0.11415579947368422,0.0,57,1,-0.22373105771929824
